source_dataset,source_ref,job_id,job_title,company_name,city,province,salary,education,experience,industry,major,company_size,company_type,publish_date,description,longitude,latitude,source_url
Kaggle China Jobs Data,polartech/china-jobs-data,149767283,短视频客户端开发,美团,北京,北京,3-4.5万,不限,3-4年,互联网/电子商务,,10000人以上,已上市,2023-07-17 19:04:10,短视频客户端开发 互联网/电子商务,116.494659,40.014736,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,91304561,北京电子元件销售经理,上海肯奥电子有限公司,北京,北京,7千-1.4万·13薪,大专,1年,电子技术/半导体/集成电路,,少于50人,民营,2023-07-17 19:04:43,北京电子元件销售经理 电子技术/半导体/集成电路 电子技术/半导体/集成电路,116.305044,39.965505,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,146011426,直销业务员,浙江彩易达光电有限公司,北京,北京,1-1.5万,大专,2年,电子技术/半导体/集成电路,,150-500人,民营,2023-07-17 19:04:54,直销业务员 电子技术/半导体/集成电路 电子技术/半导体/集成电路,116.255293,40.082439,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,147211816,第三方检测全国销售总监/经理/主管,英格尔检测技术服务（上海）有限公司,上海,上海,50-100万/年,大专,3-4年,检测，认证,,500-1000人,民营,2023-07-17 19:03:58,第三方检测全国销售总监/经理/主管 检测，认证 石油/化工/矿产/地质,121.406565,31.055030,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,137914353,医疗器械耗材招商经理,陕西华普医药科技有限公司,北京,北京,4-8千,不限,3-4年,制药/生物工程,,,民营,2023-07-17 19:03:41,医疗器械耗材招商经理 制药/生物工程 制药/生物工程,116.426292,39.905939,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,149550267,美团金服-用户增长营销算法实习生,美团,北京,北京,6-8千,不限,无需经验,互联网/电子商务,,10000人以上,已上市,2023-07-17 19:02:30,美团金服-用户增长营销算法实习生 互联网/电子商务,116.441105,40.005703,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,149261852,行政人事出纳,北京汇智天源电子工程技术有限公司,北京,北京,6-8千,大专,3-4年,计算机软件,,少于50人,民营,2023-07-17 19:00:01,行政人事出纳 计算机软件 互联网/电子商务,116.314518,39.972676,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,143400555,电力行业总监,杭州宏杉科技股份有限公司,北京,北京,2-3万,本科,5-7年,计算机硬件,,500-1000人,民营,2023-07-17 19:00:01,电力行业总监 计算机硬件 计算机软件,116.416896,39.973429,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,131554572,氢能源业务技术业务工程师,北京威尔卡自控阀门有限责任公司,北京,北京,5千-1万,本科,2年,仪器仪表/工业自动化,,少于50人,民营,2023-07-17 19:00:01,氢能源业务技术业务工程师 仪器仪表/工业自动化 仪器仪表/工业自动化,116.192440,39.928654,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,146635210,销售业务-配送解决方案专家,美团,北京,北京,1.8-2.5万,不限,5-7年,互联网/电子商务,,10000人以上,已上市,2023-07-17 19:00:25,销售业务-配送解决方案专家 互联网/电子商务,116.474292,40.027086,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,149261983,行政出纳,北京汇智天源电子工程技术有限公司,北京,北京,5-8千,大专,3-4年,计算机软件,,少于50人,民营,2023-07-17 19:00:01,行政出纳 计算机软件 互联网/电子商务,116.314518,39.972676,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,120130414,工程督导,上海中兴易联通讯股份有限公司,北京,北京,5-7千,大专,2年,通信/电信/网络设备,,500-1000人,已上市,2023-07-17 19:00:01,工程督导 通信/电信/网络设备 通信/电信运营、增值服务,116.364523,39.848560,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,149725184,大客户经理,北京福源之家养老服务有限公司,北京,北京,1.8-3.6万,大专,3-4年,计算机软件,,,民营,2023-07-17 19:00:01,大客户经理 计算机软件 计算机软件,0.000000,0.000000,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,149725101,光学专家(J10114),盛吉盛（宁波）半导体科技有限公司,上海,上海,3.5-6.5万·15薪,本科,5-7年,电子技术/半导体/集成电路,,150-500人,合资,2023-07-17 19:00:01,光学专家(J10114) 电子技术/半导体/集成电路 电子技术/半导体/集成电路,121.637501,31.228619,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,149262108,会计,北京汇智天源电子工程技术有限公司,北京,北京,7-9千,本科,5-7年,计算机软件,,少于50人,民营,2023-07-17 19:00:01,会计 计算机软件 互联网/电子商务,116.314518,39.972676,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,146141530,酒旅IP营销与招商,字节跳动,北京,北京,1.5-3万,本科,3-4年,互联网/电子商务,,10000人以上,民营,2023-07-17 19:00:01,酒旅IP营销与招商 互联网/电子商务 计算机软件,116.498170,39.928441,https://www.kaggle.com/datasets/polartech/china-jobs-data
